VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
629,392,8,8,521,73,967,32,156,82,922,86,634,68,3.51E-04,1.04E+01,1.40E+06,1.98E+07,-1.81E+00,-1.17E+00
330,279,3,6,746,79,536,22,638,9,186,25,516,27,2.06E-03,1.17E+01,8.19E+06,5.60E+08,-7.62E+00,-1.94E+00
647,333,9,5,843,34,313,73,164,49,394,20,720,33,3.86E-04,1.14E+01,8.98E+05,4.32E+06,1.24E+01,6.45E+00
732,958,5,7,102,75,343,65,702,66,386,93,119,42,2.02E-05,4.67E+01,1.68E+04,2.78E+06,1.01E+02,3.26E+01
582,641,7,6,523,98,876,14,624,20,681,15,522,10,1.07E-04,3.23E+01,2.38E+05,7.48E+07,3.39E+01,1.35E+01
654,516,1,2,836,89,699,22,167,83,985,72,839,51,2.25E-04,1.36E+01,5.27E+06,1.98E+07,3.08E+01,9.92E+00
544,624,9,2,689,53,482,35,871,11,208,93,640,82,1.07E-03,1.07E+01,8.98E+05,2.17E+06,2.43E+01,1.13E+01
770,839,4,5,275,82,716,94,547,43,541,45,350,89,1.19E-04,2.70E+01,5.77E+05,1.98E+07,1.91E+01,8.14E+00
366,388,2,2,782,2,681,60,839,43,703,76,128,20,2.15E-04,7.68E+00,8.98E+05,1.79E+06,9.95E+01,2.16E+01
393,550,8,4,315,78,625,38,735,82,651,27,376,40,6.03E-04,1.89E+01,1.40E+06,2.31E+08,-2.50E+02,1.84E+00
364,346,1,9,643,91,268,35,180,73,422,39,856,40,1.88E-03,2.40E+01,1.98E+07,8.72E+08,3.78E+00,3.00E+00
278,806,6,4,980,12,896,16,179,25,184,88,349,63,8.09E-05,2.46E+01,9.84E+04,1.40E+06,1.14E+02,2.71E+01
366,953,4,9,919,24,492,59,341,66,345,59,819,46,1.05E-05,5.92E+01,2.86E+03,2.17E+06,7.15E+01,1.71E+01
801,610,1,6,546,14,650,93,402,64,189,46,812,26,9.33E-05,2.75E+01,8.98E+05,2.54E+07,4.03E+01,6.46E+00
277,752,2,3,926,68,834,15,602,92,179,89,113,11,9.73E-05,3.62E+01,2.38E+05,1.63E+07,1.18E+02,4.08E+01
292,444,4,2,593,52,665,45,853,79,627,47,896,3,8.73E-04,5.63E+00,3.38E+06,5.27E+06,7.22E+01,2.04E+01
786,288,7,7,558,50,441,65,247,47,544,10,610,96,2.00E-04,-5.78E+00,-1.00E+01,-1.00E+01,0.00E+00,0.00E+00
651,695,8,7,797,15,775,18,292,44,153,15,399,1,6.49E-05,4.12E+01,4.06E+04,5.27E+06,1.07E+02,3.95E+01
726,854,5,1,687,67,158,83,568,92,505,49,322,62,1.74E-04,3.55E+01,3.71E+05,1.63E+07,8.68E+01,4.39E+01
673,231,8,4,271,39,721,46,619,80,160,48,728,46,8.55E-04,3.26E+01,5.77E+05,8.72E+08,-1.53E+01,-1.01E+00
801,610,1,5,557,14,836,4,402,64,189,46,812,26,2.94E-05,2.00E+01,5.77E+05,4.32E+06,1.07E+02,0.00E+00
250,797,2,2,914,67,641,99,602,92,179,89,113,10,2.73E-04,3.15E+01,1.40E+06,6.14E+07,9.05E+01,2.98E+01
621,456,4,9,918,23,492,59,155,66,345,72,819,46,3.38E-04,1.83E+01,1.40E+06,1.81E+08,1.75E+00,6.28E+02
371,993,1,2,811,89,699,22,348,83,985,45,839,51,1.96E-06,3.97E+01,1.68E+04,1.40E+06,4.99E+01,1.09E+01
320,723,3,6,797,50,788,10,292,77,153,47,399,1,4.03E-05,2.95E+01,2.38E+05,6.73E+06,6.28E+01,2.70E+01
649,444,8,2,593,16,638,45,853,45,636,14,896,3,2.18E-04,4.74E+01,6.32E+04,1.05E+07,9.19E+01,3.73E+01
770,839,3,3,275,82,716,17,547,43,541,15,350,86,1.68E-05,3.62E+00,2.38E+05,2.38E+05,1.02E+02,0.00E+00
651,695,7,8,797,15,775,94,292,44,153,44,399,5,1.71E-04,2.35E+01,3.71E+05,1.49E+08,5.36E+01,1.37E+01
724,624,8,7,689,53,350,35,871,66,208,93,618,44,5.99E-04,6.23E+01,1.68E+04,6.82E+08,-1.59E+02,4.22E+00
551,953,5,1,102,75,474,65,702,12,386,93,142,79,4.27E-05,3.86E+01,2.61E+04,2.17E+06,8.48E+01,2.50E+01
801,610,1,6,546,14,652,93,688,65,203,36,812,41,9.58E-05,2.54E+01,8.98E+05,1.98E+07,8.86E+01,1.55E+01
