VIN,VB1,C0,R0,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
905.0,754.0,1.0,1.0,764.0,85.0,927.0,5.0,706.0,43.0,111.0,25.0,976.0,13.0,2.056711e-05,37.65257,98416.24,6729644.0,65.2238,20.7191
764.0,347.0,1.0,9.0,977.0,70.0,959.0,78.0,630.0,72.0,872.0,88.0,181.0,90.0,0.0002658429,5.418745,3383769.0,3383770.0,47.4865,25.2553
757.0,913.0,1.0,5.0,335.0,63.0,829.0,74.0,609.0,14.0,536.0,84.0,128.0,52.0,5.782287e-05,57.09621,40642.28,19841090.0,93.7303,26.6689
336.0,859.0,1.0,1.0,346.0,13.0,935.0,15.0,911.0,63.0,175.0,93.0,608.0,23.0,2.390263e-05,58.4586,16783.42,10472090.0,62.7825,19.9308
415.0,393.0,1.0,2.0,884.0,33.0,401.0,51.0,156.0,63.0,562.0,86.0,991.0,90.0,0.0009883979,15.76409,12750420.0,95551890.0,19.7029,10.405
393.0,854.0,4.0,3.0,509.0,86.0,786.0,64.0,590.0,71.0,281.0,50.0,920.0,38.0,5.927594e-05,61.74455,10785.12,12750420.0,87.3404,39.9823
724.0,747.0,1.0,1.0,197.0,15.0,593.0,7.0,194.0,36.0,379.0,75.0,910.0,30.0,4.624908e-05,27.37217,898000.8,16295760.0,78.7652,32.8513
447.0,861.0,1.0,1.0,459.0,15.0,931.0,23.0,834.0,68.0,238.0,77.0,605.0,26.0,2.816845e-05,58.68529,16783.42,12750420.0,58.7875,17.124
306.0,391.0,3.0,1.0,812.0,91.0,798.0,98.0,614.0,40.0,841.0,10.0,347.0,4.0,0.001679568,35.75666,2174500.0,116340400.0,56.2833,27.2666
709.0,678.0,3.0,1.0,426.0,11.0,620.0,9.0,240.0,1.0,737.0,29.0,954.0,30.0,0.0001606789,29.57159,238315.2,6729644.0,89.2348,46.8165
269.0,856.0,7.0,2.0,953.0,83.0,187.0,73.0,288.0,95.0,323.0,89.0,338.0,17.0,0.0001598983,20.77828,577079.0,6729644.0,74.2854,26.4625
545.0,856.0,5.0,5.0,559.0,75.0,888.0,74.0,293.0,89.0,869.0,83.0,405.0,15.0,4.963899e-05,45.86411,63244.55,10472090.0,103.54,24.1287
